date,Kyoto travel,Tokyo travel,isPartial,period
2012-09-09,0,37,False,2010-2014
2012-09-16,0,30,False,2010-2014
2012-09-23,0,27,False,2010-2014
2012-09-30,0,28,False,2010-2014
2012-10-07,0,16,False,2010-2014
2012-10-14,15,26,False,2010-2014
2012-10-21,0,31,False,2010-2014
2012-10-28,0,37,False,2010-2014
2012-11-04,0,23,False,2010-2014
2012-11-11,0,26,False,2010-2014
2012-11-18,19,27,False,2010-2014
2012-11-25,0,19,False,2010-2014
2012-12-02,0,33,False,2010-2014
2012-12-09,0,22,False,2010-2014
2012-12-16,0,24,False,2010-2014
2012-12-23,0,26,False,2010-2014
2012-12-30,0,17,False,2010-2014
2013-01-06,0,27,False,2010-2014
2013-01-13,0,21,False,2010-2014
2013-01-20,0,21,False,2010-2014
2013-01-27,0,29,False,2010-2014
2013-02-03,0,31,False,2010-2014
2013-02-10,0,22,False,2010-2014
2013-02-17,0,14,False,2010-2014
2013-02-24,0,28,False,2010-2014
2013-03-03,0,28,False,2010-2014
2013-03-10,12,32,False,2010-2014
2013-03-17,23,26,False,2010-2014
2013-03-24,0,31,False,2010-2014
2013-03-31,16,32,False,2010-2014
2013-04-07,15,27,False,2010-2014
2013-04-14,17,36,False,2010-2014
2013-04-21,13,30,False,2010-2014
2013-04-28,0,19,False,2010-2014
2013-05-05,0,25,False,2010-2014
2013-05-12,0,19,False,2010-2014
2013-05-19,14,21,False,2010-2014
2013-05-26,14,22,False,2010-2014
2013-06-02,0,21,False,2010-2014
2013-06-09,0,25,False,2010-2014
2013-06-16,0,19,False,2010-2014
2013-06-23,0,43,False,2010-2014
2013-06-30,0,36,False,2010-2014
2013-07-07,11,23,False,2010-2014
2013-07-14,0,22,False,2010-2014
2013-07-21,18,24,False,2010-2014
2013-07-28,0,20,False,2010-2014
2013-08-04,12,26,False,2010-2014
2013-08-11,0,23,False,2010-2014
2013-08-18,0,26,False,2010-2014
2013-08-25,0,23,False,2010-2014
2013-09-01,0,22,False,2010-2014
2013-09-08,0,23,False,2010-2014
2013-09-15,0,20,False,2010-2014
2013-09-22,0,23,False,2010-2014
2013-09-29,0,27,False,2010-2014
2013-10-06,0,18,False,2010-2014
2013-10-13,0,24,False,2010-2014
2013-10-20,0,16,False,2010-2014
2013-10-27,14,17,False,2010-2014
2013-11-03,12,27,False,2010-2014
2013-11-10,0,22,False,2010-2014
2013-11-17,0,23,False,2010-2014
2013-11-24,0,15,False,2010-2014
2013-12-01,0,25,False,2010-2014
2013-12-08,0,28,False,2010-2014
2013-12-15,0,14,False,2010-2014
2013-12-22,17,27,False,2010-2014
2013-12-29,12,35,False,2010-2014
2014-01-05,0,24,False,2010-2014
2014-01-12,0,20,False,2010-2014
2014-01-19,0,24,False,2010-2014
2014-01-26,0,25,False,2010-2014
2014-02-02,0,28,False,2010-2014
2014-02-09,0,38,False,2010-2014
2014-02-16,0,26,False,2010-2014
2014-02-23,0,21,False,2010-2014
2014-03-02,0,18,False,2010-2014
2014-03-09,15,31,False,2010-2014
2014-03-16,0,22,False,2010-2014
2014-03-23,10,27,False,2010-2014
2014-03-30,18,29,False,2010-2014
2014-04-06,15,43,False,2010-2014
2014-04-13,0,37,False,2010-2014
2014-04-20,13,33,False,2010-2014
2014-04-27,11,27,False,2010-2014
2014-05-04,0,23,False,2010-2014
2014-05-11,11,26,False,2010-2014
2014-05-18,0,28,False,2010-2014
2014-05-25,0,30,False,2010-2014
2014-06-01,0,35,False,2010-2014
2014-06-08,0,0,False,2010-2014
2014-06-15,0,32,False,2010-2014
2014-06-22,13,22,False,2010-2014
2014-06-29,15,23,False,2010-2014
2014-07-06,11,30,False,2010-2014
2014-07-13,11,22,False,2010-2014
2014-07-20,16,29,False,2010-2014
2014-07-27,13,26,False,2010-2014
2014-08-03,0,31,False,2010-2014
2014-08-10,12,23,False,2010-2014
2014-08-17,16,24,False,2010-2014
2014-08-24,0,25,False,2010-2014
2014-08-31,0,27,False,2010-2014
2014-09-07,0,24,False,2010-2014
2014-09-14,0,26,False,2010-2014
2014-09-21,13,23,False,2010-2014
2014-09-28,13,23,False,2010-2014
2014-10-05,14,28,False,2010-2014
2014-10-12,11,35,False,2010-2014
2014-10-19,13,37,False,2010-2014
2014-10-26,0,27,False,2010-2014
2014-11-02,12,24,False,2010-2014
2014-11-09,16,25,False,2010-2014
2014-11-16,13,20,False,2010-2014
2014-11-23,0,20,False,2010-2014
2014-11-30,0,21,False,2010-2014
2014-12-07,18,25,False,2010-2014
2014-12-14,0,28,False,2010-2014
2014-12-21,14,28,False,2010-2014
2014-12-28,18,39,False,2010-2014
2014-12-28,35,72,False,2015-2019
2015-01-04,0,34,False,2015-2019
2015-01-11,0,49,False,2015-2019
2015-01-18,0,49,False,2015-2019
2015-01-25,0,53,False,2015-2019
2015-02-01,0,47,False,2015-2019
2015-02-08,0,34,False,2015-2019
2015-02-15,0,52,False,2015-2019
2015-02-22,20,47,False,2015-2019
2015-03-01,0,45,False,2015-2019
2015-03-08,0,47,False,2015-2019
2015-03-15,20,65,False,2015-2019
2015-03-22,26,67,False,2015-2019
2015-03-29,20,63,False,2015-2019
2015-04-05,25,71,False,2015-2019
2015-04-12,33,46,False,2015-2019
2015-04-19,33,47,False,2015-2019
2015-04-26,0,42,False,2015-2019
2015-05-03,25,50,False,2015-2019
2015-05-10,21,51,False,2015-2019
2015-05-17,24,74,False,2015-2019
2015-05-24,0,55,False,2015-2019
2015-05-31,20,65,False,2015-2019
2015-06-07,20,58,False,2015-2019
2015-06-14,24,43,False,2015-2019
2015-06-21,23,63,False,2015-2019
2015-06-28,18,38,False,2015-2019
2015-07-05,34,49,False,2015-2019
2015-07-12,24,36,False,2015-2019
2015-07-19,20,47,False,2015-2019
2015-07-26,21,51,False,2015-2019
2015-08-02,33,57,False,2015-2019
2015-08-09,28,64,False,2015-2019
2015-08-16,25,34,False,2015-2019
2015-08-23,17,43,False,2015-2019
2015-08-30,0,40,False,2015-2019
2015-09-06,0,24,False,2015-2019
2015-09-13,31,52,False,2015-2019
2015-09-20,22,46,False,2015-2019
2015-09-27,22,47,False,2015-2019
2015-10-04,27,37,False,2015-2019
2015-10-11,19,52,False,2015-2019
2015-10-18,34,42,False,2015-2019
2015-10-25,0,48,False,2015-2019
2015-11-01,0,42,False,2015-2019
2015-11-08,27,34,False,2015-2019
2015-11-15,0,50,False,2015-2019
2015-11-22,31,28,False,2015-2019
2015-11-29,0,38,False,2015-2019
2015-12-06,29,36,False,2015-2019
2015-12-13,26,46,False,2015-2019
2015-12-20,0,40,False,2015-2019
2015-12-27,25,65,False,2015-2019
2016-01-03,18,49,False,2015-2019
2016-01-10,0,47,False,2015-2019
2016-01-17,19,35,False,2015-2019
2016-01-24,0,44,False,2015-2019
2016-01-31,21,40,False,2015-2019
2016-02-07,0,50,False,2015-2019
2016-02-14,0,52,False,2015-2019
2016-02-21,26,63,False,2015-2019
2016-02-28,24,40,False,2015-2019
2016-03-06,31,49,False,2015-2019
2016-03-13,28,56,False,2015-2019
2016-03-20,36,63,False,2015-2019
2016-03-27,30,60,False,2015-2019
2016-04-03,37,57,False,2015-2019
2016-04-10,28,69,False,2015-2019
2016-04-17,24,55,False,2015-2019
2016-04-24,0,51,False,2015-2019
2016-05-01,26,52,False,2015-2019
2016-05-08,19,48,False,2015-2019
2016-05-15,39,47,False,2015-2019
2016-05-22,25,77,False,2015-2019
2016-05-29,21,52,False,2015-2019
2016-06-05,20,43,False,2015-2019
2016-06-12,25,55,False,2015-2019
2016-06-19,31,54,False,2015-2019
2016-06-26,24,49,False,2015-2019
2016-07-03,34,63,False,2015-2019
2016-07-10,30,62,False,2015-2019
2016-07-17,17,68,False,2015-2019
2016-07-24,19,54,False,2015-2019
2016-07-31,0,62,False,2015-2019
2016-08-07,27,56,False,2015-2019
2016-08-14,0,50,False,2015-2019
2016-08-21,29,47,False,2015-2019
2016-08-28,30,25,False,2015-2019
2016-09-04,23,53,False,2015-2019
2016-09-11,25,60,False,2015-2019
2016-09-18,18,41,False,2015-2019
2016-09-25,0,30,False,2015-2019
2016-10-02,24,49,False,2015-2019
2016-10-09,26,55,False,2015-2019
2016-10-16,20,49,False,2015-2019
2016-10-23,33,58,False,2015-2019
2016-10-30,48,58,False,2015-2019
2016-11-06,19,31,False,2015-2019
2016-11-13,37,56,False,2015-2019
2016-11-20,24,74,False,2015-2019
2016-11-27,0,68,False,2015-2019
2016-12-04,22,52,False,2015-2019
2016-12-11,31,47,False,2015-2019
2016-12-18,0,62,False,2015-2019
2016-12-25,30,55,False,2015-2019
2017-01-01,19,52,False,2015-2019
2017-01-08,17,40,False,2015-2019
2017-01-15,0,37,False,2015-2019
2017-01-22,24,41,False,2015-2019
2017-01-29,18,37,False,2015-2019
2017-02-05,23,47,False,2015-2019
2017-02-12,15,50,False,2015-2019
2017-02-19,27,48,False,2015-2019
2017-02-26,0,44,False,2015-2019
2017-03-05,16,35,False,2015-2019
2017-03-12,35,37,False,2015-2019
2017-03-19,26,47,False,2015-2019
2017-03-26,31,35,False,2015-2019
2017-04-02,45,80,False,2015-2019
2017-04-09,46,72,False,2015-2019
2017-04-16,29,68,False,2015-2019
2017-04-23,30,60,False,2015-2019
2017-04-30,17,49,False,2015-2019
2017-05-07,25,42,False,2015-2019
2017-05-14,36,46,False,2015-2019
2017-05-21,0,59,False,2015-2019
2017-05-28,0,43,False,2015-2019
2017-06-04,19,48,False,2015-2019
2017-06-11,28,44,False,2015-2019
2017-06-18,22,57,False,2015-2019
2017-06-25,26,42,False,2015-2019
2017-07-02,21,44,False,2015-2019
2017-07-09,0,60,False,2015-2019
2017-07-16,18,36,False,2015-2019
2017-07-23,0,51,False,2015-2019
2017-07-30,21,56,False,2015-2019
2017-08-06,21,40,False,2015-2019
2017-08-13,21,42,False,2015-2019
2017-08-20,21,51,False,2015-2019
2017-08-27,16,40,False,2015-2019
2017-09-03,0,48,False,2015-2019
2017-09-10,0,55,False,2015-2019
2017-09-17,20,47,False,2015-2019
2017-09-24,26,52,False,2015-2019
2017-10-01,36,52,False,2015-2019
2017-10-08,21,47,False,2015-2019
2017-10-15,25,56,False,2015-2019
2017-10-22,29,56,False,2015-2019
2017-10-29,34,54,False,2015-2019
2017-11-05,29,63,False,2015-2019
2017-11-12,30,38,False,2015-2019
2017-11-19,22,71,False,2015-2019
2017-11-26,0,53,False,2015-2019
2017-12-03,0,59,False,2015-2019
2017-12-10,17,50,False,2015-2019
2017-12-17,23,55,False,2015-2019
2017-12-24,25,62,False,2015-2019
2017-12-31,39,63,False,2015-2019
2018-01-07,18,51,False,2015-2019
2018-01-14,23,53,False,2015-2019
2018-01-21,0,46,False,2015-2019
2018-01-28,0,38,False,2015-2019
2018-02-04,0,57,False,2015-2019
2018-02-11,18,36,False,2015-2019
2018-02-18,22,48,False,2015-2019
2018-02-25,25,37,False,2015-2019
2018-03-04,0,39,False,2015-2019
2018-03-11,25,58,False,2015-2019
2018-03-18,37,61,False,2015-2019
2018-03-25,23,47,False,2015-2019
2018-04-01,32,76,False,2015-2019
2018-04-08,35,71,False,2015-2019
2018-04-15,20,61,False,2015-2019
2018-04-22,33,61,False,2015-2019
2018-04-29,21,50,False,2015-2019
2018-05-06,22,64,False,2015-2019
2018-05-13,30,52,False,2015-2019
2018-05-20,32,72,False,2015-2019
2018-05-27,28,47,False,2015-2019
2018-06-03,21,59,False,2015-2019
2018-06-10,23,52,False,2015-2019
2018-06-17,23,56,False,2015-2019
2018-06-24,33,52,False,2015-2019
2018-07-01,34,56,False,2015-2019
2018-07-08,41,63,False,2015-2019
2018-07-15,19,58,False,2015-2019
2018-07-22,17,65,False,2015-2019
2018-07-29,0,60,False,2015-2019
2018-08-05,18,43,False,2015-2019
2018-08-12,23,41,False,2015-2019
2018-08-19,17,42,False,2015-2019
2018-08-26,17,41,False,2015-2019
2018-09-02,25,61,False,2015-2019
2018-09-09,27,55,False,2015-2019
